param _level_step := 100.000000;
set _kolumny := _level _koszt _ryzyko;
param _efektywne:   _level      _koszt      _ryzyko      :=
          1         11755.0000  11755.0000  2755.0000
          2         11855.0000  11843.5000  2645.5000
          3         11955.0000  11952.0000  2536.0000
          4         12055.0000  12050.0000  2390.0000
          5         12155.0000  12153.5000  2339.5000
          6         12255.0000  12248.5000  2277.5000
          7         12355.0000  12346.0000  2206.0000
          8         12455.0000  12443.5000  2134.5000
          9         12555.0000  12551.0000  2063.0000
          10        12655.0000  12633.0000  2012.0000
          11        12755.0000  12740.5000  1940.5000
          12        12855.0000  12848.0000  1873.8000
          13        12955.0000  12954.0000  1838.0000
          14        13055.0000  13054.5000  1805.7000
          15        13155.0000  13148.5000  1778.1000
          16        13255.0000  13239.5000  1760.7000
          17        13355.0000  13351.5000  1740.9000
          18        13455.0000  13448.5000  1716.5000
          19        13555.0000  13549.5000  1699.5000
          20        13655.0000  13649.0000  1682.4000
          21        13755.0000  13750.0000  1665.0000
          22        13855.0000  13853.5000  1643.5000
          23        13955.0000  13949.0000  1623.0000
          24        14055.0000  14051.0000  1599.6000
          25        14155.0000  14142.0000  1582.2000
          26        14255.0000  14250.0000  1554.0000
;
param _M := 26;
